Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
Mack & Moxy,,12,United States,2016,2016,PBS Kids,,,,,
Mad,4,103,United States,2010,2013,Cartoon Network,,,,,
Mad Jack the Pirate,1,13,US,1998,1999,Fox Kids,,,,,
Madagascar: A Little Wild,8,50,United States,2020,2022,Hulu,Peacock,,,,
Madeline,3,59,US,1993,2001,HBO (Pilot),The Family Channel,Disney Channel,,,
Mademoiselle Zazie,1,78,France,2013,2013,France 5,,,,,
Maggie and the Ferocious Beast,3,39,Canada,2000,2002,Teletoon,,,,,
Magi-Nation,2,52,"Canada, South Korea",2007,2010,Kids' WB,,,,,
Magic Adventures of Mumfie,3,79,UK,1994,1998,CITV,,,,,
Magic: The Gathering,TBA,TBA,United States,2022,2022,Netflix,,,,,
Magical Girl Friendship Squad,1,6,United States,2020,Present,Syfy,,,,,
Magical Girl Friendship Squad: Origins,1,6,United States,2020,Present,Syfy,,,,,
Maisy,1,26,UK,1999,2001,CITV,Nick Jr.,,,,
Major Lazer,,11,United States,2014,2015,FXX,,,,,
Major Lazer,1,11,United States,2015,2015,FXX,,,,,
Make Way for Noddy,2,100,"Britain, United States",2002,2007,PBS Kids,,,,,
Making Fiends,,6,United States,2008,2008,Nicktoons Network,,,,,
Malo Korrigan,1,26,France,1999,1999,Canal J,M6,,,,
Mama K's Team 4,TBA,TBA,United States,2022,2022,Netflix,,,,,
Mama Mirabelle's Home Movies,,26,"Britain, United States",2007,2008,CBeebies,,,,,
Mao Mao: Heroes of Pure Heart,,40,United States,2019,Present,Cartoon Network,,,,,
Marcelino Pan y Vino,3,78,"France, Japan, Spain, Mexico, Italy",2001,2005,TF1,,,,,
Marcus Level,1,52,France,2014,2017,Boomerang,Clan,,,,
Mario All-Stars,1,40,US,1994,1994,The Family Channel,,,,,
Marsupilami,1,13,"US, UK, Australia",1993,1993,CBS,,,,,
Martha Speaks,6,96,"Canada, United States",2008,2014,PBS Kids,,,,,
Martin Morning,,156,France,2003,2018,France 3,,,,,
Martin Mystery,3,66,"Canada, France, Italy",2003,2006,YTV,,,,,
Marvel Action Universe,1,12,US,1988,1988,Syndication,,,,,
Marvin the Tap-Dancing Horse,2,26,"Canada, China",2000,2002,Teletoon,PBS Kids,,,,
Mary Shelley's Frankenhole,2,20,United States,2010,2012,Adult Swim,,,,,
Mary-Kate and Ashley in Action!,1,26,United States,2001,2002,ABC,,,,,
Maryoku Yummy,1,26,United States,2010,2010,The Hub,,,,,
Masha and the Bear,,88,Russia,2009,Present,Carousel,,,,,
Massive Monster Mayhem,,10,Canada,2017,2018,Nicktoons,,,,,
Master Raindrop,,26,"Australia, New Zealand, Singapore",2008,2008,Seven Network,,,,,
Masters of the Universe: Revelation,2,10,United States,2021,2021,Netflix,,,,,
Matt Hatter Chronicles,4,52,"Britain, Canada",2011,2015,Teletoon,,,,,
Max & Ruby,7,130,Canada,2002,2019,Treehouse TV,,,,,
Max Steel,3,35,"Canada, United States",2000,2002,Kids' WB,,,,,
Max Steel,2,52,"Canada, United States",2013,2016,Disney XD,Netflix,Cartoon Network,,,
Maxie's World,1,32,US,1987,1987,Syndication,,,,,
Maya & Miguel,,65,United States,2004,2007,PBS Kids Go!,,,,,
Maya and the Three,1,9,United States,2021,2021,Netflix,,,,,
Maya the Bee,,78,"France, Germany",2012,2017,ZDF,,,,,
McGee and Me!,1,12,US,1989,1995,ABC,,,,,
Mecha Builders,1,10,United States,2022,Present,Cartoonito / HBO Max,,,,,
Mechanick,,45,"United Kingdom, Canada, Australia",2003,2004,CITV (2003),Channel 5 (2004),,,,
Meeow!,2,26,Scotland,2000,2002,CITV,,,,,
Meet the Moores,6,94,"Ireland, United States",2011,2015,Discovery Kids,,,,,
Mega Babies,2,38,"Canada, US",1999,2001,Teletoon,Fox Family,,,,
Mega Man: Fully Charged,1,52,"Canada, Japan, United States",2018,2019,Family Chrgd,Cartoon Network,,,,
Megas XLR,,26,United States,2004,2005,Cartoon Network,,,,,
Men in Black: The Series,4,53,US,1997,2001,Kids' WB,,,,,
Merlin the Magical Puppy,2,26,Britain,2001,2001,CITV,,,,,
Merrie Melodies Starring Bugs Bunny & Friends,1,65,US,1990,1994,Syndication,Kids' WB,,,,
Messy Goes to Okido,2,78,United Kingdom,2015,2019,CBeebies,,,,,
Meta Runner,,10,Australia,2019,Present,YouTube,,,,,
Metalocalypse,,61,United States,2006,2013,Adult Swim,,,,,
MeteoHeroes,1,52,Italy,2020,Present,Cartoonito,Boomerang,,,,
Mia and Me,4,104,Germany,2012,Present,ZDF,Nick Jr.,,,,
Mia's Magic Playground,1,24,British,2020,Present,Viaplay,,,,,
Mickey Mouse,5,94,United States,2013,2019,Disney Channel,,,,,
Mickey Mouse Clubhouse,,125,United States,2006,2016,Disney Channel,Disney Junior,,,,
Mickey Mouse Funhouse,1,22,United States,2021,Present,Disney Junior,,,,,
Mickey Mouse Mixed-Up Adventures,,65,United States,2017,2021,Disney Junior,,,,,
Mickey Mouse Works,2,25,US,1999,2000,ABC,,,,,
Mickey's Mouse Tracks,1,78,US,1992,1995,Disney Channel,,,,,
Microscopic Milton,1,26,UK,1997,1997,Disney Channel,,,,,
Middle School Moguls,,4,United States,2019,2019,Nickelodeon,,,,,
Middlemost Post,1,20,United States,2021,Present,Nickelodeon,,,,,
Midnight Patrol: Adventures in the Dream Zone,1,13,"UK, US",1990,1990,Syndication,,,,,
Miffy and Friends,,39,Netherlands,2003,2007,KRO,Noggin,,,,
Miffy's Adventures Big and Small,3,78,"Netherlands, United Kingdom",2015,2017,KRO (Netherlands),Tiny Pop (United Kingdom),,,,
Mighty Ducks,1,26,US,1996,1997,ABC,,,,,
Mighty Express,7,38,United States,2020,Present,Netflix,,,,,
Mighty Magiswords,,92,United States,2016,2019,Cartoon Network,,,,,
Mighty Max,2,40,US,1993,1994,Syndication,,,,,
Mighty Mouse: The New Adventures,2,19,US,1987,1988,CBS,Fox Kids,,,,
Mika's Diary,1,52,Brazil,2015,2015,Disney Channel,Disney Junior,,,,
Mike Judge Presents: Tales from the Tour Bus,,21,United States,2017,2018,Cinemax,,,,,
Mike the Knight,3,104,"Canada, United Kingdom",2011,2017,Treehouse TV (Canada),CBeebies (United Kingdom),Discovery Kids (Latin American),,,
Mike Tyson Mysteries,4,70,United States,2014,2020,Adult Swim,,,,,
"Mike, Lu & Og",2,26,"Russia, US",1999,2001,Cartoon Network,,,,,
Miles from Tomorrowland,3,75,United States,2015,2018,Disney Junior,,,,,
Milo,TBA,TBA,United Kingdom,2021,2021,Milkshake!,,,,,
Milo Murphy's Law,,26,United States,2016,2019,Disney XD,,,,,
Mimi and Mr. Bobo,2,33,Spain,1999,2003,La 1,,,,,
Mini Beat Power Rockers,4,200,Argentina,2017,Present,Discovery Kids,,,,,
Minnie's Bow-Toons,,40,United States,2011,2016,Disney Junior,,,,,
Minnie's Bow-Toons,,40,United States,2021,Present,Disney Junior,,,,,
Minoriteam,,19,United States,2006,2006,Adult Swim,,,,,
"Mira, Royal Detective",2,54,"United States, Canada",2020,2022,Disney Junior,,,,,
Miraculous: Tales of Ladybug & Cat Noir,4,104,France,2015,Present,TF1 (France),EBS 1 (South Korea),Disney Channel,,,
Mirette Investigates,,52,"France, Spain",2016,2017,TFI,,,,,
Mischief City,1,26,Canada,2005,2005,YTV,,,,,
Miss BG,,52,"Canada, France",2005,2008,TVOKids,,,,,
Miss Moon,,52,France,2016,Present,TFOU TV,Discovery Kids,,,,
Miss Spider's Sunny Patch Friends,,44,"Britain, Canada, United States",2004,2008,Teletoon,,,,,
Mission Hill,1,13,US,1999,2000,The WB,Adult Swim,,,,
Mixels,,31,United States,2014,2016,Cartoon Network,,,,,
Mofy,3,,"United Kingdom, Japan, Italy, Germany",2013,Present,NHK (Japan),Rai Yoyo (Italy),KiKA (Germany),EBS (South Korea),Milkshake! (United Kingdom),
Molang,5,313,"France, South Korea, United Kingdom",2015,Present,Piwi+,Canal+ Family,TF1,,,
Mole Sisters,,,Canada,2003,2003,Treehouse TV,,,,,
Molly of Denali,1,31,"Canada, United States",2019,Present,PBS Kids,,,,,
Molly's Gang,1,26,UK,1994,1995,CITV,,,,,
Momma Named Me Sheriff,2,19,United States,2019,2021,Adult Swim,,,,,
Mona the Vampire,4,65,"Canada, France",1999,2006,YTV,,,,,
Mondo Yan,1,52,"Spain, Ireland",2020,Present,TV3,,,,,
Mongo Wrestling Alliance,1,10,United States,2011,2011,Adult Swim,,,,,
Monk Little Dog,,52,"France, South Korea",2009,2010,Canal+ and EBS,,,,,
Monkey Dust,,18,Britain,2003,2005,,,,,,
Monster Allergy,,52,"France, Germany, Italy",2005,2009,Toon Disney Rai 2 (Italy),Antena 3 (Spain),,,,
Monster Buster Club,,52,"Canada, France",2008,2009,YTV,,,,,
Monster by Mistake,3,52,Canada,1996,2006,YTV,Discovery Kids,,,,
Monster Farm,1,13,US,1998,1999,Fox Family,,,,,
Monster Force,1,13,"US, Canada",1994,1994,Syndication,,,,,
Monster High,TBA,TBA,United States,2022,2022,Nickelodeon,,,,,
Monster in My Pocket,TBA,TBA,France,2022,2022,M6,,,,,
Monster Math Squad,,132,Canada,2012,2016,CBC Television,,,,,
Monster Tails,1,50,US,1990,1991,Syndication,,,,,
Monsters At Work,1,10,United States,2021,Present,Disney+,,,,,
Monsters vs. Aliens,1,26,United States,2013,2014,Nickelodeon,,,,,
Moominvalley,2,26,"Britain, Finland",2019,Present,YLE,Sky One,,,,
Moonbeam City,1,10,"United States, Canada",2015,2015,Comedy Central,,,,,
Moral Orel,,44,United States,2005,2009,Adult Swim,,,,,
Mortal Kombat: Defenders of the Realm,1,13,US,1996,1996,USA Network,,,,,
Mot,1,26,France,1996,1996,ABC Television,,,,,
Mother Goose and Grimm,2,13,US,1991,1992,CBS,,,,,
Mother Up!,1,13,Canada,2013,2014,Hulu,City,,,,
Motorcity,,20,United States,2012,2013,Disney XD,,,,,
Motu Patlu,,262,India,2012,Present,Nickelodeon India,,,,,
Mouk,1,52,France,2011,2011,France 5,Disney Junior,,,,
Moville Mysteries,1,26,Canada,2002,2003,YTV,,,,,
Mr. Baby,,48,France,2009,2010,France 3,,,,,
Mr. Bean: The Animated Series,5,130,Britain,2002,2019,ITV,CITV,,,,
Mr. Bogus,3,43,US,1991,1993,Channel 4,The Children's Channel,,,,
Mr. Magoo,,78[22],"France, United States",2019,Present,France 3,,,,,
Mr. Meaty,,20,"Canada, United States",2005,2009,CBC Television,Nickelodeon,,,,
Mr. Men and Little Miss,3,107,UK,1995,1997,CITV,,,,,
"Mr. Monkey, Monkey Mechanic",,12,Canada,2017,Present,YouTube,,,,,
Mr. Pickles,4,32,United States,2014,2019,Adult Swim,,,,,
Mudpit,2,25,Canada,2011,2013,Teletoon,,,,,
Mumble Bumble,1,65,"Canada, Denmark",1999,1999,CBC Television,,,,,
Mummies Alive!,1,42,US,1997,1997,ABC,,,,,
Munchies,,,United States,2005,2006,Fuse,,,,,
Mundo Ripilica,,26,Brazil,2017,2017,Discovery Kids,,,,,
Muppet Babies,3,62,United States,2018,2022,Disney Junior,,,,,
Mush-Mush and the Mushables,1,TBA,"United States, France",2021,Present,Cartoonito,,,,,
Music Up,1,52,China,2001,2001,CCTV,,,,,
Mutant League,2,40,US,1994,1996,,,,,,
My Big Big Friend,2,52,"Brazil, Canada",2010,2013,Discovery Kids,Treehouse TV,,,,
My Brother the Monster,TBA,TBA,Canada,2022,2022,Teletoon,,,,,
My Dad the Rock Star,,26,"Canada, France",2003,2005,Teletoon,,,,,
My Friend Rabbit,,26,Canada,2007,2008,Treehouse TV,,,,,
My Friends Tigger & Pooh,,66,United States,2007,2010,Playhouse Disney,Disney Junior,,,,
My Goldfish Is Evil,,26,Canada,2006,2008,CBC Television,,,,,
My Gym Partner's a Monkey,4,100,United States,2005,2008,Cartoon Network,Tooncast,,,,
My Knight and Me,,52,"Belgium, France",2016,2017,RTBF,TéléTOON+,Cartoon Network,Boomerang,,
My Life as a Teenage Robot,,40,United States,2003,2009,Nickelodeon,Nicktoons Network,,,,
My Life Me,2,52,"Canada, France",2010,2011,Teletoon,,,,,
My Little Pony (2003),,,United States,2003,2009,Direct-to-Video,,,,,
My Little Pony Tales,1,26,US,1992,1992,The Disney Channel,,,,,
My Little Pony: Equestria Girls,,3,"Canada, United States",2017,2017,Discovery Family,,,,,
My Little Pony: Friendship Is Magic,9,222,"Canada, United States",2010,2019,Discovery Family,Discovery Kids,Cartoonito,,,
My Little Pony: Make Your Mark,1,8,United States,2022,Present,Netflix,,,,,
My Little Pony: Pony Life,1,52,"United States, Ireland",2020,Present,Discovery Family,,,,,
My Little Pony: Tell Your Tale,1,27,United States,2022,Present,YouTube,,,,,
My Magic Pet Morphle,2,175,"United States, United Kingdom",2011,Present,YouTube,,,,,
My Pet Monster,1,13,Canada,1987,1987,ABC,,,,,
Mysticons,,40,"Canada, United States",2017,2018,Nickelodeon,YTV,Nicktoons,,,
Mythic Warriors,2,26,Canada,1998,2000,CBS,,,,,
Nanook,1,26,"Canada, France",1996,1996,Teletoon,,,,,
Napoleon Dynamite,,6,United States,2012,2012,Fox,,,,,
NASCAR Racers,2,26,"Canada, US",1999,2001,Fox Kids,,,,,
Nature Cat,3,76,"Canada, United States",2015,2021,PBS Kids (United States),Discovery Kids (Latin American),,,,
Ned's Newt,3,39,"Canada, Germany",1997,1999,Teletoon,,,,,
Neighbors from Hell,1,10,United States,2010,2010,TBS,,,,,
Nella the Princess Knight,2,52,"Ireland, Britain, United States",2017,2021,Nick Jr.,,,,,
Nellie the Elephant,2,30,UK,1990,1991,ITV,,,,,
Nelly & Nora,,52,Ireland,2015,2020,RTÉjr,,,,,
Nerds and Monsters,2,40,Canada,2014,2016,YTV,,,,,
New Dalton,10,172,United States,2010,Present,Dailymotion (Season 1-10)/Newgrounds (Season 10),,,,,
New Kids on the Block,1,15,US,1990,1991,ABC,,,,,
New Looney Tunes,3,156,United States,2015,2020,Cartoon Network,Boomerang,Boomerang VOD (all USA only),,,
Newbie and the Disasternauts,3,39,Brazil,2011,2012,TV Rá-Tim-Bum,,,,,
NFL Rush Zone,3,65,United States,2010,2014,Nicktoons,,,,,
"Ni Hao, Kai-Lan",,40,United States,2008,2011,Nick Jr.,,,,,
Nick & Perry,2,52,"France, Germany",2000,2001,M6,Cartoon Network,,,,
Nicktoons Film Festival,,114,United States,2004,2009,Nicktoons Network,,,,,
Nico,1,19,Spain,2001,2001,Televisión Española,,,,,
Night Hood,1,26,"Canada, France",1996,1997,TF1,Canal+,YTV,,,
Night Sweats,1,26,Canada,2015,2015,Adult Swim,,,,,
Nightmare Ned,1,12,US,1997,1997,ABC,,,,,
Niko and the Sword of Light,,23,United States,2017,2019,Amazon Video,,,,,
Niloya,6,156,Turkey,2014,2020,TRT Çocuk,,,,,
Nilus the Sandman,2,26,Canada,1996,1998,Family Channel,,,,,
Nina and the Guardians,,26,Brazil,2019,Present,Nat Geo Kids (Latin America),,,,,
Nina Sahabatku,,26,Indonesia,2013,2013,Dreamtoon,,,,,
Nina's World,2,52,"Canada, United States",2015,2018,Universal Kids,,,,,
Ninjago (TV series),15,180,"Denmark, Canada",2011,Present,Cartoon Network,,,,,
Ninjin,,22,Brazil,2019,Present,Cartoon Network (Brazil),,,,,
Noah's Island,3,39,UK,1997,1999,BBC1,,,,,
Noddy,2,66,"Canada, UK",1998,2000,TVOKids,,,,,
"Noddy, Toyland Detective",,52,"France, United States",2016,2020,France 5,,,,,
Noddy's Toyland Adventures,4,53,UK,1992,2001,BBC One and BBC Two,,,,,
Noonbory and the Super Seven,,26,"Canada, South Korea",2009,2009,CBS,,,,,
Norman Picklestripes,,52[25],"Britain, Canada, United States",2019,2021,Universal Kids,,,,,
Numb Chucks,2,52,Canada,2014,2016,YTV,Nickelodeon,Teletoon,Disney XD (Poland),Disney Channel (China),Neox Kdz (Spain)
Numberblocks,,120,British,2017,2021,CBeebies,,,,,
Numberjacks,,67,Britain,2006,2009,BBC Two,CBeebies,,,,
Nutri Ventures,,100,Portugal,2012,2014,RTP 2,,,,,
O'Grady,,19,United States,2004,2006,The N,,,,,
Oakie Doke,2,28,UK,1995,1996,BBC One,BBC Two,CBeebies,,,
Object Mayhem,3,21,Ireland,2012,Present,YouTube,,,,,
Object Overload,,7,United Kingdom,2013,Present,YouTube,,,,,
Octonauts: Above & Beyond,2,26,"United Kingdom, Canada",2021,Present,Netflix,,,,,
Odd Job Jack,,52,Canada,2003,2007,The Comedy Network,,,,,
Oddballs,TBA,TBA,United States,2022,2022,Netflix,,,,,
Oddbods (2012),1,,United States,2012,2014,Boomerang,,,,,
Odo,1,14,United States,2021,Present,HBO Max,,,,,
Off the Air,12,43,United States,2011,Present,Adult Swim,,,,,
Oggy and the Cockroaches,7,501,France,1998,2003,France 3,,,,,
Oggy and the Cockroaches,7,501,France,2008,2012,France 3,,,,,
Oggy and the Cockroaches,7,501,France,2017,2019,France 3,,,,,
Oggy and the Cockroaches: Next Generation,1,13,France,2022,Present,Netflix,,,,,
Oggy Oggy,1,16,France,2021,Present,Netflix,,,,,
Oh No! It's an Alien Invasion,2,40,Canada,2013,2015,YTV,,,,,
Oh Noah!,1,15,Canada,2011,2013,PBS Kids,,,,,
Oh Yeah! Cartoons,3,32,US,1998,2001,Nickelodeon,,,,,
OK K.O.! Let's Be Heroes,,112,United States,2017,2019,Cartoon Network,,,,,
Old Bear Stories,3,41,UK,1993,1997,ITV Network,Channel 5,,,,
Olivia,,40,"Britain, United States",2009,2015,Nickelodeon,,,,,
Ollie,,,Ireland,2019,Present,RTEjr,,,,,
Ollie! The Boy Who Became What He Ate,,26,Canada,2017,2019,CBC Kids,,,,,
Ollie's Pack,1,20,Canada,2020,2021,Nickelodeon,,,,,
Olliver's Adventures,3,39,Canada,2002,2002,Teletoon,,,,,
Olobob Top,,26,British,2017,2019,CBeebies,,,,,
Om Nom Stories,19,181,"United Kingdom, Russia",2011,Present,YouTube,,,,,
Once Upon a Time... Life,1,26,France,1987,1987,Canal+,,,,,
Once Upon a Time... The Americas,1,26,France,1991,1991,Canal+,,,,,
Once Upon a Time... The Discoverers,1,26,France,1994,1994,France 3,Canal+,,,,
Once Upon a Time... The Explorers,1,26,France,1996,1996,France 3,Canal+,,,,
Oni: Thunder God's Tale,1,4,United States,2022,2022,Netflix,,,,,
Onyx Equinox,1,12,United States,2020,2020,Crunchyroll,,,,,
Oops! I-Kooo,,,South Korea,2011,2011,EBS,,,,,
Oppa Keki,4,TBA,Brazil,2016,Present,,,,,,
Origanimals,,52,Malaysia,2016,Present,ZooMoo Network,,,,,
Orson and Olivia,1,26,France,1993,1993,TF1,,,,,
Os Under-Undergrounds,,26,Brazil,2016,2017,Nickelodeon Brazil,,,,,
Oscar's Orchestra,3,39,"UK, France",1994,1996,BBC,,,,,
Osmar: The Heel of the Loaf,2,52,Brazil,2013,2015,Gloob,,,,,
Oswald,1,24,"Britain, United States",2001,2003,Nickelodeon,,,,,
Oswaldo,2,26,Brazil,2017,Present,Cartoon Network Brazil,TV Cultura,,,,
Ouk an lavois para tou mi ehontos,,13,Greece,2010,2011,Mega Channel,,,,,
Our Cartoon President,3,46,United States,2018,2020,Showtime,,,,,
Out of Jimmy's Head,1,20,United States,2007,2008,Cartoon Network,,,,,
Out There,1,10,United States,2013,2013,IFC,,,,,
Over the Garden Wall,,10,United States,2014,2014,Cartoon Network,,,,,
Ovide and the Gang,1,65,Canada,1987,1988,CBBC,,,,,
OVNI,2,104,France,2008,2011,Canal+ Family,,,,,
Ozzy & Drix,2,26,United States,2002,2004,Kids' WB,,,,,
P. King Duckling,2,78,"China, United States",2016,2017,Disney Junior,Mango TV,,,,
Paap-O-Meter,,,India,2017,Present,Sony YAY!,,,,,
Pablo,2,105,United Kingdom,2017,Present,Cbeebies,RTÉjr,,,,
Pablo the Little Red Fox,1,52,UK,1999,1999,CBBC,CBeebies,,,,
Pac-Man and the Ghostly Adventures,3,52,"Canada, Japan, United States",2013,2015,Disney XD (U.S./Canada),Discovey Kids (Latin America),Tokyo MXTV (Japan),,,
Pacific Heat,,26,Australia,2016,2017,The Comedy Channel,,,,,
Packages from Planet X,1,52,"Canada, United States",2013,2014,Disney XD,Teletoon,,,,
Paddington Bear,1,13,"US, UK",1989,1990,Syndication,,,,,
Pakdam Pakdai,6,535,India,2013,Present,Nickelodeon,,,,,
Pantheon,1,8,United States,2022,Present,AMC+,,,,,
Papa Beaver's Storytime,4,156,"Canada, France",1993,1994,Family Channel,France 3,,,,
Papawa,,104,Spain,2008,2008,TVC,,,,,
Paper Port,,52,"Brazil, Chile",2016,Present,Gloob,TVN,,,,
Papyrus,2,52,"Belgium, Canada, France",1998,1998,TF1,,,,,
Paradise PD,,30,United States,2018,Present,Netflix,,,,,
Party Legends,,14,United States,2016,2017,Viceland,,,,,
Pat & Stan,,362,France,2004,2009,,,,,,
Pat the Dog,,78,"Belgium, France, Italy",2017,Present,La Trois,Discovery Kids,,,,
Patrol 03,1,26,France,1997,1997,Teletoon,France 3,,,,
PAW Patrol,7,182,"Canada, United States",2013,Present,Nick Jr.,,,,,
PB Bear and Friends,1,30,UK,1998,1998,Milkshake!,,,,,
PB&J Otter,3,65,US,1998,2000,Playhouse Disney,,,,,
Peanuts,,37,"France, Italy, United States",2014,2016,France 3,Boomerang,,,,
Pearlie,,26,"Australia, Canada",2009,2011,Network Ten,YTV,,,,
Pecola,1,26,"Canada, Japan",2001,2002,Teletoon,,,,,
Pedro and Frankensheep,,10,Britain,2008,2008,CBBC,,,,,
Peep and the Big Wide World,,104,"Canada, United States",2004,2011,Discovery Kids,PBS Kids,,,,
Peepoodo & The Super Fuck Friends,2,26,French,2019,Present,Bobbypills,,,,,
Peg + Cat,2,63,"Canada, United States",2013,2018,Treehouse TV,PBS Kids,Discovery Kids,,,
Pelswick,2,26,"Canada, China",2000,2002,Nickelodeon,,,,,
Pencilmation,26,542,United States,2004,Present,Newgrounds,YouTube,,,,
Penn Zero: Part-Time Hero,,35,United States,2014,2017,Disney XD,,,,,
Penny Crayon,1,12,UK,1989,1990,BBC Kids,BBC1,BFBS,YTV,SSVC Television,TV2
Peppa Pig,7,329,Britain,2004,2012,Channel 5,Clan,Cartoon Network,Discovery Kids,Nick Jr,YouTube
Peppa Pig,7,329,Britain,2015,Present,Channel 5,Clan,Cartoon Network,Discovery Kids,Nick Jr,YouTube
Pepper Ann,5,65,US,1997,2000,ABC,,,,,
Perfect Hair Forever,,8,United States,2004,2007,Adult Swim,,,,,
Perfect Hair Forever,,8,United States,2014,2014,Adult Swim,,,,,
Pet Alien,,52,United States,2005,2005,Cartoon Network,,,,,
Pet Squad,1,26,"Britain,Canada",2011,2011,CBBC,,,,,
Petals,2,55,Australia,1998,1999,ABC,,,,,
Peter Pan and the Pirates,1,65,US,1990,1991,Fox Kids,,,,,
Peter Rabbit,,78,"Ireland, Britain",2012,2016,CBeebies,Nick Jr,,,,
Petit Petit Muse,,26,South Korea,2008,2008,KBS1,,,,,
Phantom 2040,1,35,"US, France",1994,1996,Syndication,,,,,
Phantom Investigators,1,13,United States,2002,2002,Kids' WB,,,,,
Philbert Frog,1,13,UK,1993,1994,CBBC,TCC,,,,
Phineas and Ferb,4,222,United States,2007,2015,Disney Channel,,,,,
Pickle and Peanut,2,42,United States,2015,2018,Disney XD,,,,,
Picnic with Cake,,,France,2013,2013,,,,,,
Pig City,1,39,"Canada, France",2002,2002,Teletoon,,,,,
Pig Goat Banana Cricket,2,40,United States,2015,2018,Nickelodeon (2015–16),Nicktoons (2016–18),,,,
Pigeon Boy,1,26,France,2002,2002,Pop UK,,,,,
Piggsburg Pigs!,1,13,"Canada, US",1990,1990,Fox Kids,,,,,
Pikwik Pack,1,29,United States,2020,Present,Disney Junior,,,,,
Pimpa – Le Nuove Avventure,1,26,Italy,1997,1997,Raisat Ragazzi,Rai 3,Rai Yoyo,,,
Pinecone & Pony,1,8,United States,2022,2022,Apple TV+,,,,,
Ping and Friends,1,52,Canada Brazil,2018,2019,TVOKids,,,,,
Pingu,6,156,"Switzerland, UK",1990,2000,Schweizer Fernsehen,Cbeebies,,,,
Pingu,6,156,"Switzerland, UK",2003,2006,Schweizer Fernsehen,Cbeebies,,,,
Pink Panther and Pals,1,26,United States,2010,2010,Cartoon Network,,,,,
Pinkalicious & Peterrific,3,54,United States,2018,Present,PBS Kids (United States),SIC K (Portugal),Pop (Slovenian),,,
Pinkfong Wonderstar,3,44,South Korea,2019,Present,KBS,,,,,
Pinky and the Brain,4,66,US,1995,1998,Kids' WB,,,,,
Pinky Dinky Doo,,104,"Canada, United States",2006,2011,Noggin,,,,,
Pinky Malinky,3,60,United States,2019,2021,Netflix,,,,,
"Pinky, Elmyra & the Brain",1,13,US,1998,1999,The Wb,,,,,
Pinocchio,8,,United States,2015,Present,Disney XD,,,,,
Pinocchio and Friends,TBA,TBA,Italy,2021,2021,Netflix,,,,,
Pip Ahoy!,,52,Britain,2014,2018,Channel 5,,,,,
Pip and Posy,TBA,TBA,United Kingdom,2021,2021,Milkshake!,,,,,
"Pipi, Pupu and Rosemary",,52,Italy,2009,2009,Rai Yoyo,,,,,
"Pipo, my Imaginary Friend",3,36,Colombia,2013,Present,Señal Colombia,,,,,
Pippi Longstocking,2,26,"Canada, Germany",1997,1997,Teletoon,,,,,
Pirate Express,1,26,"Canada, Australia",2015,2015,Teletoon (Canada),9Go! (Australia),,,,
Pirates: Adventures in Art,,30,Canada,2010,2011,CBC Television,Discovery Kids,,,,
Pixar Popcorn,1,10,United States,2021,2021,Disney+,,,,,
Pixcodelics,,65,Brazil,2005,2005,Cartoon Network,,,,,
Pixel Pinkie,,52,"Australia, Britain, Canada",2009,2009,Nine Network,,,,,
PJ Masks,6,103,France,2015,Present,France 5 (France),Disney Junior (Worldwide),,,,
Planet Sheen,1,50,United States,2010,2013,Nickelodeon,Nicktoons,,,,
Planet Sketch,,40,Britain,2005,2005,CITV,,,,,
Planetorama,,13,Brazil,2017,2017,TV Cultura,,,,,
Plankton Invasion,,78,France,2011,2011,Canal+,,,,,
Playboy's Dark Justice,1,20,United States,2000,2001,Playboy TV,,,,,
Pleasant Goat and Big Big Wolf,,530,China,2005,Present,,,,,,
Plim Plim,2,40,Argentina,2011,2016,Disney Junior,,,,,
Plonsters,1,13,Germany,1987,1987,ABC,,,,,
Pocket Dragon Adventures,1,52,"US, Canada, Australia",1996,1997,CBS,Treehouse TV,,,,
Pocoyo,4,104,"Spain, Britain (Seasons 1–2)",2005,Present,Clan TVE (TVE 2),Discovey Kids(Latin American),YouTube,,,
Pok & Mok,,78,France,2009,2014,Canal+,,,,,
Poko,,50,Canada,2003,2006,CBC Television,,,,,
Police Academy,2,64,US,1988,1989,Syndication,,,,,
Polly Pocket,3,66,"Canada, United States",2018,Present,Family Channel,,,,,
Pond Life,2,21,UK,1996,1996,Channel 4,,,,,
Pongwiffy,1,13,UK,2002,2004,ITV1,,,,,
Poochini's Yard,1,26,United States,2000,2003,Syndication,,,,,
Popetown,,10,Britain,2005,2005,,,,,,
Popeye and Son,1,13,US,1987,1988,CBS,,,,,
Poppets Town,,52,"Canada, Spain",2008,2009,Knowledge Network,TVOKids,,,,
PopPixie,1,52,Italy,2011,2011,Rai 2,,,,,
Popples,3,26,"United States, France, Russia",2015,2016,Netflix,,,,,
Poppy Cat,,52,Britain,2011,2012,Nick Jr.,,,,,
Popzilla,,12,United States,2009,2009,MTV,,,,,
Pororo the Little Penguin,7,286,South Korea,2003,2021,,,,,,
Postcards from Buster,4,55,"Canada, United States",2004,2012,PBS Kids Go!,,,,,
Potatoes and Dragons,,13,"Canada, France",2004,2004,Teletoon,,,,,
Potlach,,26,"France, Italy",2006,2006,France 3,,,,,
